Email Address,First Name,Last Name,Company,Phone,Address,City,State,Country,Website,Tags,Source,Notes,Priority
,,,Abercrombie & Kent USA,,1411 Opus Place Executive Towers West II Ste 300,Downers Grove,IL,US,https://www.abercrombiekent.com/,"international-agent,ustoa,luxury,asia-potential,fit",ustoa-directory,Luxury FIT; Asia + Bhutan specialist potential,high
,,,Adventures by Disney,,215 Celebration Place Ste 150,Celebration,FL,US,https://www.adventuresbydisney.com/,"international-agent,ustoa,group,family",ustoa-directory,Disney packaged tours,low
,,,Audley Travel,,77 N Washington Street Floor 9,Boston,MA,US,https://www.audleytravel.com/,"international-agent,ustoa,luxury,asia-potential,fit,uk-us",ustoa-directory,Strong Asia FIT tailor-made; high Bhutan fit,high
,,,Avanti Destinations,,111 SW Columbia Street Suite 1200,Portland,OR,US,https://www.avantidestinations.com/,"international-agent,ustoa,fit,asia-potential",ustoa-directory,Independent travel specialist,medium
,,,Alexander+Roberts,,53 Summer Street,Keene,NH,US,https://www.alexanderroberts.com/,"international-agent,ustoa,luxury,asia-potential",ustoa-directory,Private journeys; Asia programmes,high
,,,Asia Answers,,2265 116th Ave NE Suite 110,Bellevue,WA,US,https://www.asiaanswers.com/,"international-agent,ustoa,asia-specialist,fit",ustoa-directory,Asia Answers brand — top priority for Bhutan,high
,,,Down Under Answers,,2265 116th Ave NE Suite 110,Bellevue,WA,US,https://www.downunderanswers.com/,"international-agent,ustoa,pacific,fit",ustoa-directory,Sister brand to Asia Answers,medium
,,,Goway Travel,,5901 West Century Blvd Suite 750,Los Angeles,CA,US,https://www.goway.com/,"international-agent,ustoa,asia-specialist,wholesale",ustoa-directory,Asia by Goway parent — high priority,high
,,,Asia by Goway,,5901 West Century Blvd Suite 750,Los Angeles,CA,US,https://www.goway.com/asia/,"international-agent,ustoa,asia-specialist,wholesale",ustoa-directory,Asia desk,high
,,,SITA World Tours,,16250 Ventura Blvd Suite 300,Encino,CA,US,https://www.sitatours.com/,"international-agent,ustoa,asia-specialist,wholesale",ustoa-directory,Long Asia/India/Bhutan history,high
,,,Swain Destinations,,110 Quaker Lane,Haverford,PA,US,https://www.swaindestinations.com/,"international-agent,ustoa,asia-specialist,australia,fit",ustoa-directory,Australia + Asia luxury FIT,high
,,,Ritz Tours,,208 South 1st Street,Alhambra,CA,US,https://www.ritztours.com/,"international-agent,ustoa,asia-specialist,group",ustoa-directory,Asia group tours,medium
,,,Peony Tours,,208 South 1st Street,Alhambra,CA,US,https://www.peonytours.com/,"international-agent,ustoa,asia-specialist,group",ustoa-directory,Sister brand to Ritz,medium
,,,Elite Voyages,,680 Brea Canyon Rd Suite 268,Diamond Bar,CA,US,https://www.elitevoyages.com/,"international-agent,ustoa,asia-specialist",ustoa-directory,Elite Voyages / Chinatour parent,medium
,,,Chinatour.com,,680 Brea Canyon Rd Suite 268,Diamond Bar,CA,US,https://www.chinatour.com/,"international-agent,ustoa,asia-specialist,china",ustoa-directory,China/Asia focus,medium
,,,Majestic Vacations,,600 Data Drive Suite 101,Plano,TX,US,https://www.majestic-vacations.com/,"international-agent,ustoa,asia-specialist,group",ustoa-directory,Asia packages,medium
,,,EWorld Tours,,1609 W Valley Blvd STE 168,Alhambra,CA,US,https://www.eworldtours.com/,"international-agent,ustoa,asia-specialist",ustoa-directory,Asia tours,medium
